tpsaEfficiency	TopoPSA	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol
acetylcysteine	0.645278766404748	105.2	2	4	277.85534790333	360.777267411747	20.2001733141519	179.55391566234	-233.139191073896	-45.5231486990893	98.3014322409905	593.916458485643	65.7233220132412	0.607454570852693	0.788740622783541	0.0441621430153912	0.392545429147307	-0.509694948581696	-0.0995238888347384	127.093610062245	165.022864198042	9.23974639952512	82.1296243334433	-106.640025697407	-20.8227099216409	0.2133230110213	0.254446119331542	0.8385901277341	8.23183837099438	297.792778455945	159.616485109725	0.651042298825658	0.348957701174342	14.694863	21.207137
acetyldigitoxin	0.234237846163836	188.9	4	14	949.682351604553	5210.63796267354	51.9623950458507	240.512994994745	-1319.62665213113	-67.0085097839805	709.169356609807	6530.26461480467	118.970904829831	0.797921412075796	4.37796869023367	0.0436587113151811	0.202078587924205	-1.10874795125157	-0.0563004299886078	1130.30751562722	6201.67705598769	61.8454007817259	286.257447439406	-1570.61350061488	-79.7532165274472	0.0521757397150038	0.0709994297719626	0.518510702326547	1.19701402538535	897.793582043067	292.401764556231	0.754324560760803	0.245675439239197	89.3956620000001	130.916338
acipimox	0.500721114841134	77.13	1	3	285.830379029238	330.916551858922	29.7264279764733	208.889698800018	-241.839440162096	-41.5353864777477	76.9406802292206	572.755992021017	71.261814454221	0.577761833082278	0.668896547136159	0.0600873692187864	0.422238166917722	-0.488840964820438	-0.0839573494975131	141.406027359311	163.711062290635	14.7062607621066	103.341928048075	-119.642826659176	-20.5483896309396	0.268284348935722	0.282040483250052	6.15914211662953	9.9518868165492	335.286385960831	159.433691868425	0.677729489840008	0.322270510159992	10.455242	19.166758
acitretin	0.142647713060049	46.53	1	2	531.807102703659	883.867181190028	29.3297869893489	230.842788289145	-383.662353409499	-35.8184146010267	300.964314414514	1267.52953459953	65.1482015903756	0.697314860966363	1.15894225073503	0.0384577344542302	0.302685139033637	-0.503064850517521	-0.0469657375213139	405.582628906145	674.081209386692	22.3683588502691	176.052227325192	-292.600052005797	-27.3169099910081	0.170624293133523	0.209605834776519	2.01757987589702	2.88915872045861	619.584575891744	143.06531510106	0.812410233331548	0.187589766668452	31.297382	56.702618
aclarubicin	0.267519897171132	217.05	4	14	911.084547913008	5239.88087687705	53.6158419435032	304.542203929102	-1751.50031270474	-71.7506655769825	606.542343983906	6991.38118958179	125.366507520486	0.749477211267676	4.31043564065759	0.0441055133594715	0.250522788732324	-1.44082080297311	-0.0590235987059799	1107.53874963303	6369.73937039764	65.1768517890608	370.209650161172	-2129.17063598371	-87.2220285378569	0.0471768868973766	0.0677840398613442	0.0178037936756862	1.08682223576277	941.77705729057	273.84969455154	0.774725511645281	0.225274488354719	77.163971	122.390029
aclidinium	0.199332257347066	112.24	1	3	513.007812264578	1260.0540957967	29.344560179756	245.810235626242	-603.761164615279	-26.45579375066	267.197576638336	1863.81526041198	55.8003539304161	0.676061690533737	1.66054840063318	0.0386714051692905	0.323938309466263	-0.7956599955595	-0.0348644761734325	389.279586655347	956.151789209282	22.2671818718171	186.525243149488	-458.144868325654	-20.075133769278	0.123916086816449	0.150710296199016	0	2.00439114550512	696.00404626478	62.8140016260403	0.917221260352682	0.082778739647318	44.78621	78.9217899999999
aconite	0.643042699544211	111.9	3	6	255.607210504153	453.532771026988	38.7200694758874	210.060105688097	-372.716957503031	-60.3762456472957	45.547104816056	826.249728530019	99.0963151231832	0.548905198230889	0.973941600057984	0.0831496395162546	0.451094801769111	-0.800393208934497	-0.129655321616708	119.027923714857	211.195388289372	18.030670835614	97.8181256548369	-173.562105299778	-28.1152442723403	0.161902146412311	0.186697314594557	0.336045875420978	6.58767323892098	111.027876818527	354.639439373724	0.238427463036056	0.761572536963944	9.433242	19.372758
acrivastine	0.153453444343901	53.43	1	4	509.539035826086	901.265307245013	28.9800258836346	215.425733228426	-381.041933974354	-34.6354511893109	294.11330259766	1282.30724121937	63.6154770729455	0.70284661762339	1.24318497355455	0.0399743920265669	0.29715338237661	-0.52560062259481	-0.0477753577383931	369.397849431918	653.385595323725	21.0094977719229	156.176066938345	-276.241977663803	-25.1094818725576	0.16021734293848	0.185517401935407	1.50150857399409	6.25017345215041	590.590228243141	134.374540811371	0.814646798648408	0.185353201351592	30.494968	58.527032
activated_charcoal	0	0	0	0	0	0	0	120.762821603992	0	0	-120.762821603992	0	0	0	0	0	1	0	0	0	0	0	14.5836590817575	0	0	NA	NA	NA	NA	120.762821603992	0	1	0	0	1.76
acyclovir	0.494357561574303	122.14	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.08607	52.25393
adapalene	0.112881043182756	46.53	1	2	504.446808658928	922.242599920393	27.5488656657198	208.355145356286	-380.920223226338	-28.4576700873342	296.091663302642	1303.16282314673	56.0065357530541	0.707695602989552	1.29382726117037	0.0386486954904332	0.292304397010448	-0.534398399275723	-0.0399236701401169	359.570670908823	657.376327299328	19.6368852774277	148.515954739085	-271.520679439646	-20.2846828449722	0.158968380918304	0.190542548671233	1.25983398354926	0.325586127266474	604.031892385683	108.770061629531	0.847404933422489	0.152595066577511	33.483796	70.3562039999999
adefovir	0.535371565172548	146.19	3	8	386.884869088632	944.042718715176	50.17150257517	182.890090710911	-446.272450167183	-49.3198268018119	203.994778377721	1390.31516888236	99.4913293769819	0.679013463885364	1.65686944025639	0.0880549446975016	0.320986536114636	-0.783243353348117	-0.0865601865325276	220.437310732027	537.891902104991	28.5864658628502	104.206194082544	-254.274867353651	-28.1012023333228	0.137955462246209	0.150494360833782	3.72386984697493	0.690031273874094	301.821216535704	267.953743263839	0.52972004357982	0.47027995642018	28.752484	34.419516
adenine	0.595907599407593	80.48	2	4	342.441715022309	410.429125230092	39.9515932194056	121.903612436326	-146.106011095553	-28.7916648641904	220.538102585983	556.535136325644	68.743258083596	0.737472081169621	0.883887703740603	0.086038538253547	0.262527918830379	-0.314649469814183	-0.0620048553557485	159.011210297531	190.580846553528	18.5513356359591	56.6053728351366	-67.8436435658394	-13.3692750494418	0.118245408389102	0.237714364635082	2.80014995223035	4.27777349692217	342.441715022309	121.903612436326	0.737472081169621	0.262527918830379	9.426035	17.633965
adenosine	0.522432406851087	139.54	4	8	317.45286528211	847.517687480341	38.1277826289001	164.781942474389	-439.925501067081	-52.7860650082358	152.670922807721	1287.44318854742	90.9138476371358	0.658295212572887	1.75747928985725	0.0790647668223743	0.341704787427113	-0.912264096226787	-0.109461333274162	153.086821461068	408.702529092315	18.3865439262292	79.4635883508794	-212.147389434265	-25.4552779114686	0.0788224378694877	0.147197502210358	1.22059964266189	4.66152373005978	261.06219344803	221.172614308468	0.541359083270182	0.458640916729818	21.407691	34.976309
adenosine_triphosphate	0.570314013283872	314.22	5	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.478898	100.951102
adrafinil	0.250417479787888	72.39	2	2	341.554345997364	560.838351261198	27.1013747048584	254.058658944091	-417.168866611156	-41.7647831260775	87.4956870532733	978.007217872354	68.866157830936	0.573450114694754	0.941615355286484	0.0455016503669566	0.426549885305247	-0.70040254855107	-0.0701206702667326	203.434210370303	334.042615681093	16.1419312260051	151.320641285086	-248.471202210291	-24.8756479784512	0.144827589642261	0.188219714894524	3.14300915310679	6.98981005655352	449.91733412256	145.695670818894	0.755385343150431	0.244614656849569	21.074105	42.807895
afatinib	0.182639650614165	88.61	2	7	565.450614780493	1561.25771411256	38.8562554916282	300.363304832436	-829.328882926453	-48.8421014420717	265.087309948057	2390.58659703901	87.6983569336999	0.653085613399798	1.80322547229378	0.0448782984558613	0.346914386600202	-0.957860417972042	-0.0564117766366092	489.57501313064	1351.75866098171	33.642286868688	260.058730264865	-718.044490774764	-42.2881712916924	0.0825179955434268	0.136861185692101	1.47660033847268	3.52347667007825	704.987692257108	160.826227355822	0.814248508007678	0.185751491992321	39.683175	69.552825
ajmaline	0.143899700491318	46.94	2	4	446.369494268953	783.66647633187	26.2167356275148	116.219195053967	-204.039676186275	-16.8443093832253	330.150299214986	987.706152518145	43.0610450107401	0.793420669025825	1.39296521811524	0.0466001825580013	0.206579330974175	-0.362680018384014	-0.0299407181532526	251.122428734505	440.881895785858	14.749238935009	65.383604619576	-114.790413995509	-9.4764179384585	0.120674999911245	0.222800604320411	3.22485043286503	4.02914374210042	482.720731963946	79.8679573589734	0.858034903874276	0.141965096125724	32.383382	56.340618
alanine	0.711079739440921	63.32	2	3	199.779243729225	190.708201288139	17.1652896416485	146.900283433236	-140.23022762185	-37.543243120398	52.8789602959886	330.938428909989	54.7085327620465	0.576264901952529	0.550099404049231	0.0495134217533546	0.423735098047471	-0.404495266188982	-0.108293799255139	69.2593737529217	66.1146290485754	5.95085449657339	50.9273208006658	-48.6149490058273	-13.0154737731249	0.28868282956233	0.346032990101287	0.599193255487942	12.1310454565257	192.165397583709	154.514129578752	0.55430269896975	0.445697301030249	7.950449	12.651551
albendazole	0.348223332185097	92.31	2	4	421.016743379713	643.69786459102	27.0018864344118	188.545652891997	-288.26985162212	-28.9033381216998	232.471090487716	931.96771621314	55.9052245561116	0.690686869719645	1.05599995755659	0.0442971656381111	0.309313130280355	-0.472912786919397	-0.0474165373364276	256.635974965049	392.374012815085	16.4593345988166	114.93033998346	-175.71846152767	-17.6183880457148	0.224619381296152	0.20003540706565	1.99204141061955	2.4894934210362	517.585799984251	91.9765962874584	0.849110448987637	0.150889551012363	24.192105	38.925895
albuterol	0.461853999374871	155.7	6	7	353.955848447257	922.672156092061	25.0651070754631	184.161977586687	-480.063063445626	-44.9805072233073	169.79387086057	1402.73521953769	70.0456142987704	0.657766443189581	1.71462849111016	0.0465792171580691	0.342233556810419	-0.892115146944314	-0.0835885842229468	190.469951678438	496.506334778311	13.4879809287562	99.1008430170595	-258.330492060555	-24.2048127609102	0.151476818346937	0.150104817162536	0.0913686642639155	3.88580662764731	382.089105184464	156.028720849479	0.710047292059719	0.289952707940281	32.279761	47.830239
alcaftadine	0.124133837554432	38.13	0	3	429.91232660297	633.259432327619	23.3167883182757	131.315292246475	-193.426990291289	-23.1608185183537	298.597034356495	826.686422618908	46.4776068366293	0.766021329250188	1.12834687933898	0.0415460457311005	0.233978670749812	-0.344649806593317	-0.041268137455236	241.27867137341	355.402683319181	13.0860255870824	73.6977687860082	-108.556569182395	-12.9984910276598	0.110317556733955	0.207396432152947	1.62365036725744	1.45989066303892	489.916353587453	71.3112652619917	0.872936999415345	0.127063000584655	29.195347	51.544653
alclometasone	0.205623444156808	106.97	1	7	566.769560096226	1606.02725579133	25.1138970361679	226.458368491826	-641.704032302228	-46.2547821458617	340.3111916044	2247.73128809356	71.3686791820296	0.714510343962646	2.02467310833352	0.0316603792315668	0.285489656037354	-0.808978112311885	-0.0583120947697787	449.57744414189	1273.94567336731	19.9210445247731	179.633102550201	-509.017560309697	-36.6905850288534	0.0923935662441509	0.138495747136314	0.104603510228428	0.753342512829985	640.710281140656	152.517647447396	0.807725318347177	0.192274681652823	48.532659	81.7453409999999
aldosterone	0.254501971072978	91.67	2	5	413.288000027877	863.71831690786	24.7817162840938	161.097827858201	-336.673565953554	-44.8672152340608	252.190172169675	1200.39188286141	69.6489315181546	0.719530287766513	1.50372497888156	0.0431447209888488	0.280469712233487	-0.586145321852072	-0.0781133744180046	237.386770051394	496.107560517492	14.2342666242771	92.532309224982	-193.38052490759	-25.7710925671589	0.100728008265944	0.187786550976354	2.8388667627895	0.989370337283865	389.048780109717	185.337047776361	0.677330047542328	0.322669952457672	33.483796	59.640204
alendronate	0.678084510522026	183.76	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.292484	52.615516
alfacalcidol	0.101065577232971	40.46	2	2	673.797338618723	1282.13446284912	30.2070287389631	118.70978262364	-225.886768402957	-26.3758352375477	555.087555995083	1508.02123125208	56.5828639765108	0.85020982216848	1.61782074694698	0.0381157820911558	0.149790177831521	-0.285028061386817	-0.0332815119644603	533.989189129489	1016.10069219818	23.939285387201	94.0783480903674	-179.016872553768	-20.9030372544718	0.110673452903404	0.206023709450224	1.34657790697601	5.78517883823601	683.644202642471	108.862918599891	0.862634775534592	0.137365224465408	48.101108	78.4628919999999
alfentanil	0.194713035909912	81.05	0	9	577.0139010405	1261.29860326252	25.6261273471186	202.718301831428	-443.123312098132	-25.9842661034998	374.295599209071	1704.42191536065	51.6103934506184	0.740015480847435	1.6176048630759	0.0328652930489876	0.259984519152565	-0.568301925284103	-0.0333246029954822	449.916320146034	983.475138401168	19.9815167274453	158.065988049476	-345.517516286181	-20.2607690488923	0.146284380786438	0.17473035479173	0.855683049986334	0.50258833463143	710.470982259791	69.2612206121378	0.911173066397626	0.0888269336023742	45.414624	67.3033759999999
alfuzosin	0.287328336545029	111.83	2	7	632.397234280175	1671.5192435328	37.4526088320638	133.495770260069	-352.84902720033	-29.4652006917764	498.901464020107	2024.36827073313	66.9178095238402	0.825699191050577	2.18244485016049	0.0489005756809936	0.174300808949423	-0.46070276802194	-0.0384716931961848	484.348617825784	1280.20489557618	28.6846911062598	102.243476577898	-270.244601591563	-22.5671910872059	0.0866222752349932	0.139347559836058	0.0490347673646969	1.42864570671837	658.876998808967	107.016005731277	0.86027290352976	0.13972709647024	40.842589	60.151411
aliskiren	0.265019476745732	146.13	4	7	888.433043107079	3173.83832655234	48.521758786512	225.881575353119	-806.93937115455	-49.1696332328776	662.55146775396	3980.77769770689	97.6913920193896	0.797291023907367	2.84824256450846	0.0435440386248914	0.202708976092632	-0.724157574338932	-0.0441254493285048	989.993927457298	3536.65444390653	54.0685051292099	251.703141456799	-899.184337488595	-54.7904410957219	0.0588381991237097	0.109415079080793	0.825228019003068	0.875600841138668	932.619118355814	181.695500104384	0.836944165414021	0.163055834585978	64.943971	96.2520289999999
alitretinoin	0.124246803661378	37.3	1	2	471.837175089437	689.626094225213	19.7001524559193	161.58140405239	-236.163571797737	-27.2604888106922	310.255771037047	925.78966602295	46.9606412666115	0.744905802619012	1.08873676417818	0.0311013176825499	0.255094197380988	-0.372839666493045	-0.0430370843362781	298.870433031444	436.821980743262	12.4784425775058	102.348663370606	-149.590394093181	-17.2673000891803	0.194022550503144	0.224507081111674	1.09221281431972	6.61109280726274	529.774623156481	103.643955985346	0.83637367232618	0.16362632767382	31.567796	55.474204
alizapride	0.263794540488056	83.14	2	5	471.768289125522	867.886335622993	30.3175351912317	179.758061916207	-330.691081302497	-23.2018176034764	292.010227209315	1198.57741692549	53.5193527947082	0.72409701982308	1.33208170971953	0.0465330913212594	0.27590298017692	-0.507563632343885	-0.0356114799752595	307.369471951151	565.450817367426	19.7526730757224	117.1171141506	-215.45395352306	-15.1165955607288	0.127009597999665	0.189066711624405	1.69756924628177	1.67455004548024	605.410724311375	46.1156267303546	0.929219091972842	0.0707809080271581	29.131347	49.266653
