nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5
acarbose	4	0	4	0	0	0	0	4	0	0	0	0.497746592414857	234	7413	86	6.55458885167764	558.114621661735	321.17	1	0.903215217735015	0.5	0	0.543216757312702	3.62304158598803	0	0.69105032150017	12.9000116444283	0	35.4024327750814	0	0	8.5104014033603	9.57651839814234	2.29012899814039	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	19	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8293345405161	15.48	7.53061224489796	0.92	6208.19	0.310344827586207	1435	0	0	0	0.181443684650606	0.787645267383979	0	0	0	0.110642435086818	0.28282352643434	0	0	0	1	1	7	16	0	0	2685.12215756429	3223.52749169917	4683.47422712737	5277.9480226653	4717.15018646193	58.3004229410135	54.9704793404099	85.2755379932495	113.114305327758	101.186500574071	2.17677063555537	-0.660249236119511	-0.877834139056205	0.515552368263891	-0.169499730509103
acebutolol	1	1	1	1	0	0	0	1	0	0	0	0.260733850330043	110	1568	31	5.58496250072116	340.59985698018	87.66	0.875	0.809607717385956	0.466666666666667	0.697550112641287	4.45690350055421	5.11489787923836	0	5.05215155572344	13.6320425225023	0	5.44191359408959	0	0	0.380530286461115	0.685006710594441	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0	4	0	4	0	0	3	2	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0416666666667	11.5837669094693	8.79238754325259	0.555555555555556	2152.06	0.115384615384615	522	0	0	0	0.0680413817439772	0.135508754930857	0	0	0	0.0240562612162344	0.0338771887327142	0	0	1	6	1	6	4	0	0	1321.90900112521	1451.68260201173	1838.99315876639	1841.63545541714	1724.82845921631	27.8178367447167	26.3251876183846	35.2072890132098	35.6493941823899	35.815304226342	0.593619028940797	-0.212542804514832	-0.154079330295134	0.00310948061385936	0.134546354343515
aceclofenac	2	2	2	2	0	0	0	2	0	0	0	0.21423584089579	112	1278	32	5.58496250072116	294.267428257945	75.63	1	0.66881754844541	0.5	0	0	0	0	8.98680446248457	17.3058520067369	0	6.26120760150587	0	0	0.814325284978472	1.14471424255333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3263888888889	9.474609375	6.09418282548476	0.125	863.07	0.361111111111111	438	0	0	0	0.15137471507731	0.302046416118181	0	0	0	0.0518340389940122	0.100113347088964	0	0	2	11	1	1	1	0	0	1471.14418792478	1682.51992726214	2240.46527897576	2250.30705305436	1931.63950324952	41.8837562591378	29.8963650308999	43.6812082472189	48.0678094073446	47.3432221050704	0.599998224817876	-0.269863145010283	-0.120684926897937	0.194169970575495	-0.215408415216269
acemetacin	3	3	2	2	0	0	1	2	0	0	0	0.228460736585513	150	2238	47	5.95419631038688	354.587360915568	94.83	1	0.641752267732631	0.5	0.142857142857143	3.27974390712911	4.45710642798667	0	7.89698194520636	23.8659550584718	0	12.1200324754986	0	0	1.04907509332667	1.5110163332548	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	7	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6586888657648	10.5433884297521	5.62663495838288	0.19047619047619	1589.08	0.340425531914894	629	0	0	0.0641500299099584	0.38864454551226	0.748911739235105	0	0	0.0279508497187474	0.145799410166581	0.242127005026302	0	0	3	11	3	2	1	0	0	1944.25624052295	2322.1217469699	3373.43755279881	3534.09551318466	3288.1364503562	41.7197444223709	36.1070522560399	53.4935864299874	56.2722168100534	53.5978780291483	0.857570298269155	-0.444765130512289	-0.0404643398604653	0.184549195155136	-0.177407341260699
acenocoumarol	3	3	2	2	0	0	0	3	0	0	0	0.31337624877518	136	1592	44	5.8073549220576	315.684323893401	106.74	1	0.832756678426564	0.5	0	1.55572264361892	2.17695998048964	0	8.90040834545738	22.9788727927322	0	12.7788281127758	0	0	1.51885125915481	0.957248629164196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	1	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7270408163265	9	4.71626913492346	0.157894736842105	1199.07	0.414634146341463	500	0	0	0	0.212027587829318	0.384324144675493	0	0	0	0.0683133146325513	0.0939193452427594	0	0	1	12	3	1	1	1	0	1701.60650042719	2029.27115550799	2901.03502252186	3172.98367831814	2944.28517197204	31.0067945145222	30.9335650129765	45.2022217087684	49.6458355004819	51.3606836155159	0.488198673056369	-0.18184065690347	0.0613894824561751	-0.178985322223184	0.116421715295537
acepromazine	3	3	1	1	0	0	0	3	0	0	0	0.149779875251764	120	1154	37	5.64385618977472	309.148350758763	48.85	1	0.655039150379883	0.5	0.512992784003009	5.10863676554937	3.22846672205785	0	12.3602602972423	18.7359489676755	0	5.79836445299759	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	3	0	3	0	0	7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8112	7.92	4.15879017013232	0.315789473684211	1703.04	0.311111111111111	381	0	0	0	0.196735636239962	0.394093104870551	0	0	0	0.0860666988380851	0.201955578395348	0	0	0	12	1	3	1	0	0	1939.30179515162	2305.77854762361	3294.90274785488	3503.36339231402	3037.9758432529	30.6221826765439	29.6687539853212	43.3404163715597	47.4538716425819	40.5320656687419	0.294335417892201	-0.134455428551946	-0.0367161096370421	-0.00313375875424203	0.040303102606934
aceprometazine	3	3	1	1	0	0	0	3	0	0	0	0.149779875251764	122	1100	39	5.64385618977472	309.148350758763	48.85	0.8	0.861891391653156	0.444444444444444	1.25992104989487	5.52371861255761	6.21573370848858	0	8.37808741269367	18.207079913588	0	7.14914419875412	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	4	0	1	0	0	7	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8112	7.48611111111111	3.81944444444444	0.315789473684211	1703.04	0.311111111111111	353	0	0	0	0.196735636239962	0.394093104870551	0	0	0	0.0860666988380851	0.201955578395348	0	0	0	12	1	3	1	0	0	2005.41693564939	2401.05169257571	3479.68011757151	3734.87977503764	3272.72385992181	30.6221826765439	29.6687539853212	44.5065983047402	49.6476700106779	41.8368131001872	0.29548128420453	-0.134708791457288	-0.0698210875795355	0.113281108493557	-0.1040062125161
acetaminophen	1	1	1	1	0	0	0	1	0	0	0	0.510798362684364	84	672	23	5.16992500144231	238.036988656711	137.95	1	0.869499933052881	0.5	0	0.822267233801039	1.38959662104197	0	2.24957684727828	9.10850727982782	0	4.40259910920602	0	0	0.937771934506475	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0555555555556	7.55555555555556	5.68047337278106	0.272727272727273	718.07	0.1875	272	0	0	0	0.0680413817439772	0.164266426608915	0	0	0	0.0240562612162344	0.0522492002303551	0	0	2	6	0	2	1	0	0	1121.37468427541	1248.01035888995	1595.55317257371	1523.54968057963	1232.56521488473	27.9455897831668	23.1664841171776	32.8286557978316	35.7789572824903	29.5567711537708	0.483477587477376	-0.183228101416008	-0.0901295540355808	0.0151452410262049	0.0713404392028031
acetate	3	0	1	0	0	0	2	1	0	0	0	0.134083569221458	80	273	22	4.90689059560852	206.339351509922	26.3	1	0.950097869080407	0.5	1.5130857494229	3.77940770695772	4.02990576058299	4.12535415088498	1.65096362444731	4.01156047495572	3.77976314968462	1.65096362444731	2.67269615442102	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5155555555556	2.9952	1.37024221453287	0.916666666666667	1043.02	0.205882352941176	144	0	0	0.131094348747582	0.669906314316275	1.49511525619231	0	0	0.131094348747582	0.652295908865843	1.37528819244213	0	0	1	0	0	4	4	1	2	945.430037833497	1161.16093740088	1870.59881942944	1410.469707021	592.01648437793	15.5489380710819	15.9962759313977	27.1028369440712	23.3283679085303	12.9925518627954	0.265381138200269	-0.155617308150948	0.0371644292721173	-0.00575694797456251	-0.00733590417034667
acetazolamide	1	1	1	1	0	0	1	0	0	0	0	0.683189675943911	64	257	14	4.70043971814109	153.950331450617	151.66	0.75	0.9871001401095	0.428571428571429	0	0	1.21644039911468	0	0	0	0	1.19055078897615	0	0	0.650697636830499	0	0	0	0.766309432393553	0	1.65096362444731	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0769230769231	4.02216066481994	3.32409972299169	0.25	205.09	0.263157894736842	140	0	0	0.117851130197758	0.142258898432212	0.266555884395772	0	0	0.0612372435695795	0.0680952062345828	0.0862842223057924	0	0	1	0	0	1	0	0	0	946.538830021912	1063.80388500183	1456.61224893475	1023.75833977271	829.689326278809	29.0188343886288	26.5924097991164	38.0374119146753	29.1706194946344	22.5227347735102	0.44829485055204	-0.183961383501847	-0.0482544035653322	-0.00314143263544774	-0.00671006344235932
