nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5
butorphanol	5	1	2	1	0	1	0	4	0	0	0	0.133549363775151	144	1145	50	5.8073549220576	319.757679846891	43.7	0.833333333333333	0.900572697618486	0.454545454545455	0	0	0	0	22.4498672542347	20.8088327408621	9.74804791884358	3.08133913536618	4.20685701919088	1	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1938775510204	5.75	2.26420138115393	0.714285714285714	2697.03	0.415094339622642	441	0	0.204124145231932	0.144337567297406	0.289562072615966	0.793593550119424	0	0.204124145231932	0.144337567297406	0.208896363025411	0.490456948339743	0	0	0	4	2	2	10	2	1	2125.54192734942	2688.75502618941	4199.58492746573	4835.10612257948	4053.65740777063	25.9089183723584	29.1627297538065	44.3251876183846	53.7090151028968	49.1555535058302	0.225232241392495	-0.0834220696496547	-0.0787418466816572	0.0767667671658331	0.0131145074274426
butylscopolamine	5	1	2	1	1	0	1	2	1	0	0	0.163956506041821	144	1727	44	5.85798099512757	348.376362598413	59.06	1	0.893109002339093	0.5	0.2	3.67576639555225	3.06648001097884	0	11.589959381432	20.7459955294273	0	9.65811789669307	0	0	0.25	0.844213625274905	0.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	5	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3222354340071	7.78799351000541	3.56033324375168	0.666666666666667	2831.05	0.321428571428571	604	0.235702260395516	0.272165526975909	0.134122975687394	1.0530972818383	2.00793448011011	0.136082763487954	0.157134840263677	0.12392834129449	0.887854179245183	1.77465836569998	0	0	1	5	1	3	9	1	0	1803.13478924888	2188.98097728162	3114.34831970566	3160.69515724632	2387.66859593289	29.4578564434403	31.6572795955172	43.9300225413711	48.5388372118857	43.5857773040523	0.655977385402608	-0.303463669249208	-0.0686069554681241	-0.0486580527364141	0.115976488103319
cabazitaxel	5	2	3	2	0	1	0	4	0	0	0	0.242345408785809	334	13570	125	7.02236781302845	793.35944426642	202.45	1	0.955171736529406	0.5	5.43965418163866	13.5394601929119	25.9925773223509	9.03819005764402	11.6721795829204	33.352828471915	9.13211285790239	28.7236195583245	19.1326137783498	2.12389387386744	2.67454357343877	7.5532485183413	3.18724671538548	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	10	8	0	0	7	2	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.4343195266272	19.076893502499	9.24710648148148	0.577777777777778	11344.15	0.299145299145299	1819	0	0.144337567297406	0.287457478565265	0.669815760119263	1.167704621175	0	0.0833333333333333	0.141058778403336	0.304270121359116	0.569816097711057	0	0	3	11	4	9	9	4	2	5015.11955646932	6265.23126771491	9802.57032266778	12457.5483251098	13843.5589495654	71.2025467988497	72.3062953861447	114.167830539502	143.706305569928	175.621687515816	1.99708410121984	-1.01959314075175	0.0287858628100199	0.266041177124515	-0.468609230249593
cabergoline	4	2	1	1	0	0	1	3	0	0	0	0.158831902882656	174	3064	57	6.16992500144231	441.135267706492	71.68	0.857142857142857	0.949232678861298	0.461538461538462	0.752672794076354	7.41285099808577	4.66592493724469	0	15.4487356775265	29.7718236908117	0	12.358524387403	0	0	0.25	0	0	0	0	0	0.1	1.05128942237241	0.595275394488075	0	0	0	0	0	0	3	1	8	0	1	4	3	0	0	2	2	2	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.0740740740741	11.8231449442522	5.71315215235072	0.538461538461538	4273.07	0.228571428571429	738	0	0	0.0962250448649376	0.360596177505694	0.703435617642529	0	0	0.0360843918243516	0.160943239456368	0.310096604973298	0	0	3	5	3	6	4	2	0	2604.7923229803	3128.5825295545	4572.38894515036	5046.07546223073	4939.081489003	36.3488395774643	38.8245490856109	55.1804583345938	61.8173728376346	64.9236320496944	0.584159640360718	-0.405879320936639	0.263338433516253	-0.304222908029075	0.316495293008581
cabozantinib	5	4	4	3	1	0	0	4	0	0	0	0.197098789192797	200	5173	62	6.35755200461808	436.196744588281	98.78	0.909090909090909	0.936306149536559	0.476190476190476	0.2	2.86711900317909	3.02581688509993	0.14824986333222	14.9192546845772	28.7556563995648	3.08320687615667	9.72330439899299	2.29416353562384	0	0.25	0.531745524493604	0.66943295008217	0	0	0	0.386401944887214	0	0	0	0	0	0	0	0	2	0	1	0	0	12	0	0	0	2	7	2	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5258774538965	12.668773340994	6.66816215350104	0.178571428571429	2893.09	0.491803278688525	1304	0.25	0.288675134594813	0	0.408114734163957	0.838891537944538	0.25	0.25	0	0.157522788701387	0.213169116907915	0	0	3	19	1	0	2	0	1	2341.16863844853	2786.24594704295	3772.20187172511	3986.8066706026	3452.23926547546	43.4543302205768	45.2356125276683	63.0870505871331	71.7439680011906	62.4137303617411	0.898563563932117	-0.407861849307552	-0.00298167262588655	-0.212786623298922	0.140828505896582
cafedrine	3	3	2	2	0	0	1	2	0	0	0	0.253933527209171	136	1836	44	5.8073549220576	323.914076100918	90.7	1	0.851922489405559	0.5	0.43679023236815	3.45477390321246	4.89709903823942	0	7.76267354127161	11.9137346269008	0	5.68736530231486	0	0	0.408528970321622	0	0	0	0	0	0.2	1.73205080756888	1.14471424255333	0	0	0	0	0	0	3	0	2	0	0	6	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7270408163265	9	4.37950413223141	0.388888888888889	1951.08	0.408163265306122	613	0	0	0.0962250448649376	0.318251602508091	0.588662295134649	0	0	0.0288675134594813	0.0923311306952711	0.136841156678987	0	0	2	6	1	3	2	0	0	1673.92633588555	1958.16463442743	2741.22025248351	2771.20430051945	2309.08934161105	30.1233086130052	31.1566410627435	45.232239025051	51.1696032010928	44.781569188978	0.68055577566081	-0.483168498104206	0.27844089286744	-0.18437003263603	0.0572813195930329
caffeine	2	2	1	1	0	0	1	1	0	0	0	0.318527825503348	76	258	25	4.90689059560852	162.333077736722	58.44	0.5	0.698316308171356	0.333333333333333	0.646330407009565	0.87720532146386	4.32634183057033	0	0	1.51967137130319	0	3.53277552900144	0	0	0.25	0	0	0	0	0	0	1.19055078897615	1.14471424255333	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5155555555556	3.53875236294896	1.45454545454545	0.375	443.06	0.375	137	0	0	0.0962250448649376	0.244373193013086	0.514167898582574	0	0	0.0288675134594813	0.06871121467658	0.111897666094477	0	0	2	1	0	0	0	0	0	810.671756915283	971.197570999512	1439.86473575977	1371.47273408936	924.174290446289	16.9888592761878	17.49218521925	26.9033273380641	30.0937034381715	23.7882016584976	0.527095475656709	-0.431025206039709	0.377406092841595	-0.332663004550122	0.11980235248411
calamine	0	0	0	0	0	0	0	0	0	0	0	0	0	20999999979	0	0	NA	0	999.000999000999	NA	0.999000000999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Inf	NA	NA	NA	42.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599076	0	0	0	0	79.9808806438965	0	0	0	0	NA	NA	NA	NA	NA
calcifediol	3	0	2	0	0	0	1	2	0	0	0	0.0967145046930514	154	29000002421	46	5.95419631038688	465.496430196887	40.46	999.000999000999	0.953096835275404	0.999000000999	1.42530611365958	10.968156011933	6.27455013350085	2.70992532053986	17.0751133030521	24.3251213286728	5.68757110125035	5.80829318498901	3.07902140203758	0.166666666666667	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	11	0	2	0	4	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2539021852237	10.7448015122873	6.51523545706371	0.777777777777778	5059.03	0.223684210526316	1870457794	0	0	0.0833333333333333	0.365450890140006	0.803285906425297	0	0	0.0833333333333333	0.334100160147314	0.647973353406861	0	0	1	2	3	4	12	4	1	2369.91668709559	2788.70146320637	4016.51061654003	3995.57728845418	3469.52726099776	32.3234071066228	31.6641839542651	47.6604598856628	46.9962759313977	41.9962759313977	0.155053115936176	-0.0372908336213529	-0.0406704600177741	-0.00565987727723976	0.00192815017533317
calcipotriene	4	0	3	0	1	0	1	2	0	0	0	0.147199446796373	164	2653	51	6.04439411935845	441.947054094486	60.69	0.875	0.941183871554659	0.466666666666667	0.43860266073193	7.33741700054723	6.41334385795525	1.08738037300289	15.7373499644484	29.3119956765755	3.82299773465906	9.71583155194001	2.98779049914718	0	0.32534881841525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8	0	4	0	7	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.168044077135	9.46938775510204	5.0101775147929	0.703703703703704	4459.03	0.342857142857143	752	0.288675134594813	0.166666666666667	0.0833333333333333	0.436298397284918	0.956486853003262	0.288675134594813	0.166666666666667	0.0833333333333333	0.380291346061553	0.701068550805125	0	0	1	4	3	2	12	4	1	2438.37932272096	2919.26536925149	4122.64251169281	4272.29331949711	3660.97428459713	32.3234071066228	33.9962759313977	47.9925518627954	53.6567358170605	46.4349289212038	0.24709957554838	-0.0742442295248018	-0.0325787515993972	-0.048629865957095	0.0258307725071131
calcitonin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	NA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcitriol	3	0	2	0	0	0	1	2	0	0	0	0.145774119509083	160	2677	49	6	456.939971496086	60.69	0.875	0.957425847265014	0.466666666666667	1.42530611365958	10.3732012202228	6.86239670894584	2.70992532053986	14.9792187780461	24.3719040051585	5.58197107299485	7.72574165322315	3.20759098062909	0.166666666666667	0.310723250595386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	10	0	2	0	5	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.638671875	9.86805555555556	5.88	0.777777777777778	4906.03	0.22972972972973	724	0	0	0.0833333333333333	0.352965063951584	0.825040997237459	0	0	0.0833333333333333	0.324735790505997	0.650391249194359	0	0	1	2	3	4	12	4	1	2425.42285620666	2867.63128796279	4154.65182093628	4175.0653242084	3628.77677511675	32.3234071066228	32.9962759313977	50.3246438399279	50.9925518627954	46.4349289212038	0.236957130976587	-0.0586785223496095	-0.0392471831045489	-0.056977046108127	0.0298159231796496
calcium_acetate	0	0	0	0	0	0	0	0	0	0	0	0.508009409357015	24	23999999994	0	3.58496250072116	NA	80.26	999.000999000999	0.769945537946671	0.999000000999	1.000000001e-09	0	0.000126491106469981	0	0	0	0	1.000000001e-09	0	0	4.7622031590794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10.8888888888889	NA	0.5	72.05	0	-884901900	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	106.36775675	85.1973135	69.382204125	0	0	22.2324432727544	7.32836790853026	8.87730597961215	0	0	NA	NA	NA	NA	NA
calcium_alginate	3	0	3	0	0	0	0	3	0	0	0	0.557397309948177	196	37000004205	71	6.28540221886225	NA	325.55	999.000999000999	0.933766221258223	0.999000000999	0	0	0	0	0	0	0	34.2608663429955	0	0	11.8618409720189	12.341943161097	2.29012899814039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.2024983563445	13.7753519103706	7.0875	0.833333333333333	2563.2	0.32258064516129	690588594	0	0	0	0.136082763487954	0.569754849252967	0	0	0	0.0785674201318386	0.175747512529399	0	0	3	0	0	3	12	0	0	1902.79064678385	2296.72881868281	3360.71080583272	3784.40852329098	3442.55838235178	62.8494788058686	46.9702074511815	75.602125390018	97.8907930146019	90.9044386870191	NA	NA	NA	NA	NA
calcium_ascorbate	2	0	2	0	0	0	2	0	0	0	0	0.564342887883611	116	168000000208	34	5.58496250072116	NA	220.1	999.000999000999	0.895239027379753	0.999000000999	0	0	0	0	1.000000001e-09	0.000400684804444334	0	0	0	0	0	0.000369474628188629	1.000000001e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10.9826989619377	6	0.5	844.13	0.128205128205128	755359696	0	0	0.157134840263677	0.562126363116335	0.898441920002202	0	0	0.058925565098879	0.0844292659229595	0.0791324681504309	0	0	2	4	0	2	4	0	0	918.385857413574	1051.57635010254	1427.556222625	1184.24225053955	697.125344661133	44.428195557082	28.6492876798559	42.8549615679983	48.6071000606124	30.6319179388364	NA	NA	NA	NA	NA
calcium_aspartate	0	0	0	0	0	0	0	0	0	0	0	0.621576996374678	36	9000000087	8	4	NA	106.28	999.000999000999	0.786857298761372	0.999000000999	0	0	0	0	0	2.3811015779523	0	1.65096362444731	0	0	1.62865056995694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.65625	5.76	7	0.5	79.06	0	-1179869200	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	245.953562375	250.46754175	278.5791660625	206.2869725	123.109956	23.5924235740309	9.49454984171071	13.209669845973	10.6014730358439	8.43529110266349	NA	NA	NA	NA	NA
calcium_bicarbonate	0	0	0	0	0	0	0	0	0	0	0	0.745425705697426	24	23999999994	0	3.58496250072116	NA	120.72	999.000999000999	0.875242327353683	0.999000000999	0	0	0	0	0	0	0	1.000000001e-09	0	0	4.52563225512425e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10.8888888888889	NA	0	8.07	0	-884901900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.74627475	55.8509175	45.871501125	0	0	23.7813813438363	7.99255186279539	10.6468142132457	0	0	NA	NA	NA	NA	NA
calcium_carbimide	0	0	0	0	0	0	0	0	0	0	0	0	6	3000000001	0	2	NA	0	999.000999000999	NA	0.999000000999	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	NA	NA	8.03	0	-294967300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.982022	20.149468	8.567329	0	0	14.8545277331436	2.33236386636089	1.35998030127648	0	0	NA	NA	NA	NA	NA
calcium_carbonate	0	0	0	0	0	0	0	0	0	0	0	0.632232966503382	12	4000000005	0	2.58496250072116	NA	63.19	999.000999000999	0.752202821891008	0.999000000999	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.88888888888889	4	NA	0	11.04	0	1705032698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.932264	24.47874	19.87296	0	0	17.4579742372135	3.9962759313977	5.32340710662284	0	0	NA	NA	NA	NA	NA
calcium_carbonate,_precipitated	0	0	0	0	0	0	0	0	0	0	0	0.632232966503382	12	4000000005	0	2.58496250072116	NA	63.19	999.000999000999	0.752202821891008	0.999000000999	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.88888888888889	4	NA	0	11.04	0	1705032698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.932264	24.47874	19.87296	0	0	17.4579742372135	3.9962759313977	5.32340710662284	0	0	NA	NA	NA	NA	NA
calcium_chloride	0	0	0	0	0	0	0	0	0	0	0	0	0	2999999997	0	0	NA	0	999.000999000999	NA	0.999000000999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Inf	NA	0	NA	6.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.979298	0	0	0	0	28.5604669462882	0	0	0	0	NA	NA	NA	NA	NA
calcium_citrate	0	0	0	0	0	0	0	0	0	0	0	0.564858247601422	116	250000000242	32	5.58496250072116	NA	281.24	999.000999000999	0.854953937451232	0.999000000999	0	0	0	0	4.7622031590794e-06	0.000563014223808662	0.000252982212939961	3.70326046872143e-05	0.000301188173212604	1.000000001e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.4722222222222	17.6574394463668	18.484375	0.5	344.17	0	755359696	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	2	0	841.61937453125	927.5053210625	1211.42460929688	1060.9134295	861.33575040625	70.2462678893452	28.6492876798559	44.6244698016318	41.7397156848151	48.1659597355091	NA	NA	NA	NA	NA
calcium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599076	0	0	0	0	11.1345671305906	0	0	0	0	NA	NA	NA	NA	NA
calcium_glubionate	1	0	1	0	0	0	0	1	0	0	0	0.592843848658136	172	387000001164	59	6.16992500144231	NA	361.71	999.000999000999	0.79874431486725	0.999000000999	0	0	0	0	1.56827387676965e-06	0.00222991536177883	0	0	0	0	0	0.00282966620746593	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4537037037037	20.8088	12.8116545265349	0.888888888888889	3418.21	0.0821917808219178	-1014444104	0	0	0	0.0453609211626514	0.200232793397913	0	0	0	0.0261891400439462	0.0643466086164936	0	0	2	0	0	4	12	0	0	1581.30726331731	1797.24745377476	2398.8903569995	2561.69466221965	2164.37000657608	64.6239478414096	42.9739315197838	63.2824423519974	82.2390179994489	70.4769579030199	NA	NA	NA	NA	NA
calcium_gluconate	0	0	0	0	0	0	0	0	0	0	0	0.657019183301913	112	195000000313	36	5.58496250072116	NA	282.56	999.000999000999	0.914710383592202	0.999000000999	0	0	0	0	1.000000001e-09	0.00039184280012333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.6875	15.869140625	11.5555555555556	0.833333333333333	1414.15	0	755359696	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	8	0	0	905.349282831787	983.303993788575	1213.71591962952	1181.67074366943	849.782507530274	47.9771336281639	28.6492876798559	40.8549615679983	51.2712840148775	40.3939780352654	NA	NA	NA	NA	NA
calcium_glycerophosphate	0	0	0	0	0	0	0	0	0	0	0	0.584347686713869	42	10000000124	8	4.16992500144231	NA	122.69	999.000999000999	0.87478351843245	0.999000000999	0	0	0	0	0.5	2	0	0	0	0	2.6232670207629	2.00685390440058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5802469135802	5.625	10	1	146.08	0	820130798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	179.434810568115	181.092015823731	192.035066851319	140.248978146484	94.7374194453125	31.4317951441214	19.7372822189387	19.5540217446073	12.7882375795761	11.7848361616553	NA	NA	NA	NA	NA
