target_uniprot_id	compound_bindingdb_id	pEC50
P10275	50007586	9.469
P10275	50007587	9.631
P10275	50007588	8.398
P10275	50007589	8.051
P10275	50007590	9.805
P10275	50007591	10.131
P10275	50007592	6.897
P10275	50007593	7.77
P10275	50007594	8.538
P10275	50007595	8.241
P10275	50007596	9.312
P10275	50007597	9.228
P10275	50007598	9.495
P10275	50007601	6.624
P10275	50007603	7.616
P10275	50007605	6.766
P10275	50007606	8.794
P10275	50007608	7.135
P10275	50007599	6.162
P10275	50007600	8.602
P10275	50007602	7.824
P10275	50007604	6.561
P10275	50007607	8.745
P10275	50007609	8.167
P10275	50007610	8.143
P10275	50069080	7.377
P10275	50069060	6.489
P10275	50069082	5.722
P10275	50069072	6.42
P10275	50069071	8.301
P10275	50069066	7.699
P10275	50069074	7.824
P10275	50069065	8.301
P10275	50069069	8
P10275	50076699	8.097
P10275	50076693	8.699
P10275	50076687	8.699
P10275	50076684	8.699
P10275	50076694	7.886
P10275	50076704	7.18
P10275	50076701	7.469
P10275	50073060	9.523
P10275	50057640	9.523
P10275	50057641	7.585
P10275	50057642	8.854
P10275	50057643	8.013
P10275	50057644	9.796
P10275	50057645	8.824
P10275	50057646	8.149
P10275	50057647	9.398
P10275	50057648	9.032
P10275	50057649	8.347
P10275	50057650	9
P10275	50057651	9.301
P10275	50057652	6.01
P10275	50410541	9.886
P10275	50415098	8.602
P10275	50415097	7.387
P10275	50068091	9.721
P10275	50068089	7.678
P10275	50068093	9.62
P10275	50068094	8.699
P10275	50068095	7.678
P10275	50068096	6.796
P10275	50068097	9.602
P10275	50068098	9.495
P10275	50068099	8.658
P10275	50068100	8.921
P10275	50068101	7.347
P10275	50435990	6.213
P10275	50205096	8.553
P10275	50205098	8.77
P10275	50205099	6.656
P10275	50205100	8.444
P10275	50205102	7.444
P10275	50205097	7.102
P10275	50205104	7.328
P10275	50205106	7.009
P10275	50205107	6.217
P10275	50205110	5.967
P10275	50205111	8.77
P10275	50205108	8.208
P10275	50205109	6.462
P10275	50205103	6.312
P10275	50205115	7.284
P10275	50205114	8.77
P10275	50205116	9.222
P10275	50205112	8.658
P10275	50205113	9
P10275	50219534	7.009
P10275	50219535	6.565
P10275	50219539	9
P10275	50219536	7.292
P10275	50219538	6.644
